station_name,all_day_boarding,all_day_alighting,morning_boarding,morning_alighting,evening_boarding,evening_alighting,calculated_weekday_average,morning_net_inflow,evening_net_outflow,employment_flow,residential_flow,peak_direction_total,orientation_score,peak_concentration,lines,weekday_average,weekend_average,relative_weekend_index,station_type,weekday_average_difference,commute_pattern,orientation_rank,weekday_volume_rank
양천구청,7692,8136,3430,834,889,3099,15828,-2596,-2210,1723,6529,8252,-0.582,0.521,2호선,15828,8938,0.871,Balanced,0.299,주거 유출·귀가형,225,201
방화,7883,7579,2912,1181,1091,2359,15462,-1731,-1268,2272,5270,7542,-0.398,0.488,5호선,15462,9539,0.952,Balanced,-0.27,주거 유출·귀가형,170,202
마천,8160,7257,3937,849,866,2581,15417,-3087,-1715,1715,6517,8232,-0.583,0.534,5호선,15417,9156,0.916,Balanced,0.422,주거 유출·귀가형,226,203
보라매,7404,7803,2394,1685,1483,2359,15206,-709,-876,3168,4753,7920,-0.2,0.521,7호선,15206,10022,1.016,Balanced,0.32,주거 유출·귀가형,124,204
개롱,7489,7698,2588,1351,1300,2414,15187,-1238,-1115,2650,5003,7653,-0.307,0.504,5호선,15187,8814,0.895,Balanced,-0.143,주거 유출·귀가형,144,205
애오개,7498,7292,2730,1513,1425,2213,14790,-1217,-788,2938,4943,7881,-0.254,0.533,5호선,14790,8061,0.841,Balanced,-0.164,주거 유출·귀가형,133,206
신금호,7102,7532,2786,1239,1107,2510,14634,-1548,-1403,2346,5296,7642,-0.386,0.522,5호선,14634,8306,0.875,Balanced,-0.172,주거 유출·귀가형,167,207
반포,7428,7087,1357,1947,2027,1249,14516,590,778,3975,2607,6581,0.208,0.453,7호선,14516,9321,0.99,Balanced,-0.344,업무 유입형,60,208
상월곡(한국과학기술연구원),7521,6952,2887,1155,1108,2081,14473,-1732,-973,2263,4969,7232,-0.374,0.5,6호선,14473,8140,0.867,Balanced,-0.463,주거 유출·귀가형,160,209
도곡,7040,6952,1654,2344,1946,1432,13991,689,514,4290,3086,7376,0.163,0.527,3호선,13991,6994,0.771,Weekday-oriented,0.492,업무 유입형,66,210
산성,6910,7049,3326,643,693,2770,13960,-2683,-2077,1336,6096,7432,-0.64,0.532,8호선,13960,8588,0.949,Balanced,-0.16,주거 유출·귀가형,236,211
암사역사공원,7413,6462,3467,765,1020,2384,13875,-2702,-1364,1784,5851,7635,-0.533,0.55,8호선,13875,7852,0.873,Balanced,0.287,주거 유출·귀가형,209,212
하남검단산,7084,6687,2435,919,1067,1934,13771,-1516,-867,1985,4369,6354,-0.375,0.461,5호선,13771,11589,1.298,Weekend-relative-strong,-0.492,주거 유출·귀가형,161,213
