date,passenger_count,weekday_num,weekday,is_weekend,holiday_name,is_holiday,day_type,day_type_order
2025-02-08,7058959.0,5,토,True,,False,Ordinary weekend,1
2025-02-09,5119972.0,6,일,True,,False,Ordinary weekend,1
2025-02-10,9498079.0,0,월,False,,False,Ordinary weekday,0
2025-02-11,9799811.0,1,화,False,,False,Ordinary weekday,0
2025-02-12,9701865.0,2,수,False,,False,Ordinary weekday,0
2025-02-13,9969188.0,3,목,False,,False,Ordinary weekday,0
2025-02-14,10320856.0,4,금,False,,False,Ordinary weekday,0
2025-02-15,7743628.0,5,토,True,,False,Ordinary weekend,1
2025-02-16,5483140.0,6,일,True,,False,Ordinary weekend,1
2025-02-17,9583509.0,0,월,False,,False,Ordinary weekday,0
2025-02-18,9831144.0,1,화,False,,False,Ordinary weekday,0
2025-02-19,9896977.0,2,수,False,,False,Ordinary weekday,0
2025-02-20,10004533.0,3,목,False,,False,Ordinary weekday,0
2025-02-21,10300842.0,4,금,False,,False,Ordinary weekday,0
2025-02-22,7802287.0,5,토,True,,False,Ordinary weekend,1
2025-02-23,5445225.0,6,일,True,,False,Ordinary weekend,1
2025-02-24,9609557.0,0,월,False,,False,Ordinary weekday,0
2025-02-25,9918536.0,1,화,False,,False,Ordinary weekday,0
2025-02-26,10001413.0,2,수,False,,False,Ordinary weekday,0
2025-02-27,10057542.0,3,목,False,,False,Ordinary weekday,0
2025-02-28,10316704.0,4,금,False,,False,Ordinary weekday,0
2025-03-01,7441682.0,5,토,True,삼일절,True,Public holiday,2
2025-03-02,5382737.0,6,일,True,,False,Ordinary weekend,1
2025-03-03,5336539.0,0,월,False,삼일절 대체 휴일,True,Public holiday,2
2025-03-04,9628439.0,1,화,False,,False,Ordinary weekday,0
2025-03-05,10144432.0,2,수,False,,False,Ordinary weekday,0
2025-03-06,10319827.0,3,목,False,,False,Ordinary weekday,0
2025-03-07,10655848.0,4,금,False,,False,Ordinary weekday,0
2025-03-08,8132822.0,5,토,True,,False,Ordinary weekend,1
2025-03-09,5638832.0,6,일,True,,False,Ordinary weekend,1
2025-03-10,10112490.0,0,월,False,,False,Ordinary weekday,0
2025-03-11,10364889.0,1,화,False,,False,Ordinary weekday,0
2025-03-12,10325705.0,2,수,False,,False,Ordinary weekday,0
2025-03-13,10485021.0,3,목,False,,False,Ordinary weekday,0
2025-03-14,10918438.0,4,금,False,,False,Ordinary weekday,0
2025-03-15,8441954.0,5,토,True,,False,Ordinary weekend,1
2025-03-16,5554467.0,6,일,True,,False,Ordinary weekend,1
2025-03-17,10003321.0,0,월,False,,False,Ordinary weekday,0
2025-03-18,10178058.0,1,화,False,,False,Ordinary weekday,0
2025-03-19,10355155.0,2,수,False,,False,Ordinary weekday,0
2025-03-20,10572947.0,3,목,False,,False,Ordinary weekday,0
